dataset,molecule_chembl_id,std_smiles,pchembl,pchembl_sd,n_meas,endpoints,n_assay,year_min,year_max,pref_name
InhA_enzyme,CHEMBL4588928,COc1ccc(C(=O)CN2C(=O)/C(=C\c3ccc(Cl)cc3)SC2=S)cc1,4.78,,1,IC50,1,2019,2019,
InhA_enzyme,CHEMBL4568422,COc1ccc(C(=O)CN2C(=O)/C(=C\c3ccc(F)cc3)SC2=S)cc1,4.7,,1,IC50,1,2019,2019,
InhA_enzyme,CHEMBL4573708,COc1ccc(C(=O)CN2C(=O)/C(=C\c3cccc(Cl)c3)SC2=S)cc1,5.11,,1,IC50,1,2019,2019,
InhA_enzyme,CHEMBL4553751,COc1ccc(C(=O)CN2C(=O)/C(=C\c3ccccc3Cl)SC2=S)cc1,4.82,,1,IC50,1,2019,2019,
InhA_enzyme,CHEMBL4517154,COc1ccc(C(=O)CN2C(=O)/C(=C\c3ccccc3OC)SC2=S)cc1,4.78,,1,IC50,1,2019,2019,
InhA_enzyme,CHEMBL3393958,COc1ccc(C(=O)N2CCN(C3c4ccccc4-c4ccccc43)CC2)cc1,5.54,,1,IC50,1,2015,2015,
InhA_enzyme,CHEMBL560684,COc1ccc(C(=O)Nc2cc(Cl)cc(Cl)c2)cc1[N+](=O)[O-],5.15,,1,IC50,1,2009,2009,
InhA_enzyme,CHEMBL558073,COc1ccc(C(=O)Nc2cc(Cl)ccc2Cl)cc1[N+](=O)[O-],4.86,,1,IC50,1,2009,2009,
InhA_enzyme,CHEMBL384149,COc1ccc(Cl)cc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,5.8,,1,IC50,1,2006,2006,
InhA_enzyme,CHEMBL550334,COc1ccc(Cl)cc1NC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,5.39,,1,IC50,1,2009,2009,
InhA_enzyme,CHEMBL550333,COc1ccc(Cl)cc1NC(=O)c1ccc(OC)c([N+](=O)[O-])c1,5.3,,1,IC50,1,2009,2009,
InhA_enzyme,CHEMBL539395,COc1ccc(OC)c(/C=N/NC2=CS(=O)(=O)c3ccccc32)c1,5.29,,1,IC50,1,2009,2009,
InhA_enzyme,CHEMBL5631307,COc1ccc2cc(C(=O)NCc3cn(Cc4ccc(Oc5ccccc5)c(O)c4)nn3)c(=O)oc2c1,6.46,,1,IC50,1,2023,2023,
InhA_enzyme,CHEMBL5398592,COc1ccc2nc(C)cc(Nc3ccc(N4CCCCC4)cc3)c2c1,5.33,,1,IC50,1,2023,2023,
InhA_enzyme,CHEMBL4569601,COc1cccc(/C=C2/SC(=S)N(CC(=O)c3ccccc3)C2=O)c1,4.65,,1,IC50,1,2019,2019,
InhA_enzyme,CHEMBL5633283,COc1cccc2cc(C(=O)NCc3cn(Cc4ccc(Oc5ccccc5)c(O)c4)nn3)c(=O)oc12,6.13,,1,IC50,1,2023,2023,
InhA_enzyme,CHEMBL4521503,COc1ccccc1/C=C1/SC(=S)N(CC(=O)c2ccccc2)C1=O,4.55,,1,IC50,1,2019,2019,
InhA_enzyme,CHEMBL5174930,CS(=O)(=O)N1N=Cc2ccc(Oc3ccc(C(F)(F)F)cc3/C=N/O)cc2B1O,6.4,,1,IC50,1,2022,2022,
InhA_enzyme,CHEMBL5416636,CSc1ccc2nc(C)cc(Nc3ccc(N4CCCCC4)cc3)c2c1,6.21,0.1764369575797542,5,IC50|Kd|Ki,5,2023,2023,
InhA_enzyme,CHEMBL4564729,C[C@H]1OC(=O)[C@@H](C2CCCCC2)OC(=O)[C@H](C)[C@H](O)[C@H](Cc2cccnc2)NC(=O)[C@H]1NC(=O)c1ncccc1O,4.96,,1,IC50,1,2020,2020,
InhA_enzyme,CHEMBL4565976,C[C@H]1OC(=O)[C@@H](Cc2ccccc2)OC(=O)[C@H](C)[C@H](O)[C@H](Cc2cccnc2)NC(=O)[C@H]1NC(=O)c1ncccc1O,4.54,,1,IC50,1,2020,2020,
InhA_enzyme,CHEMBL444361,Cc1c(Cl)cccc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,4.64,0.0,2,IC50,2,2006,2018,
InhA_enzyme,CHEMBL4435863,Cc1c(S(=O)(=O)Nc2cccc(CN)c2)sc2ccc(Cl)cc12,6.51,0.0,2,IC50,2,2020,2022,
